id,name,terminalName,lat,long,nbBikes,nbEmptyDocks
228,Connecticut & Nebraska Ave NW,31310,38.955016,-77.069956,13,10
229,17th St & Massachusetts Ave NW,31267,38.908142,-77.038359,18,0
230,15th & Euclid St Â NW,31117,38.92333,-77.0352,2,13
231,8th & East Capitol St NE,31629,38.889988,-76.995193,8,3
232,New Jersey Ave & R St NW,31509,38.912659,-77.017669,11,4
233,15th & East Capitol St NE,31630,38.889908,-76.983326,7,4
234,8th & F St NE,31631,38.897274,-76.994749,14,0
235,18th St & Rhode Island Ave NE,31510,38.927095,-76.978924,10,5
236,15th & F St NE,31632,38.897195,-76.983575,9,9
237,12th & Irving St NE,31511,38.928644,-76.990955,13,2
238,34th St & Minnesota Ave SE,31709,38.884085,-76.957461,5,6
239,Alabama & MLK Ave SE,31800,38.843222,-76.999388,4,7
240,Pleasant St & MLK Ave SE,31807,38.863897,-76.990037,2,9
241,Neal St & Trinidad Ave NE,31512,38.903732,-76.987211,2,13
242,12th & U St NW,31268,38.916787,-77.028139,13,17
243,S George Mason Dr & Four Mile Run,31063,38.852248,-77.105022,5,6
244,S Stafford & 34th St S,31064,38.834108,-77.087323,8,3
245,N Pershing Dr & Wayne St,31065,38.880705,-77.08596,6,4
246,Columbia Pike & S Orme St,31066,38.867262,-77.072315,4,7
247,3rd St & Pennsylvania Ave SE,31269,38.887378,-77.001955,0,11
248,8th & D St NW,31270,38.894851,-77.02324,7,5
249,3rd & Elm St NW,31118,38.917622,-77.01597,13,2
250,Rhode Island Ave & V St NE,31513,38.918155,-77.004746,1,17
251,Constitution Ave & 2nd St NW/DOL,31271,38.892275,-77.013917,8,17
252,Washington & Independence Ave SW/HHS,31272,38.88731,-77.01397,10,15
253,Independence Ave & L'Enfant Plaza SW/DOE,31633,38.887312,-77.025762,5,10
254,Hamlin & 7th St NE,31514,38.927497,-76.997194,3,12
255,Columbia Pike & S Walter Reed Dr,31067,38.862478,-77.086599,1,11
256,Columbia Pike & S Dinwiddie St / Arlington Mill Community Center,31068,38.856319,-77.11153,7,8
257,Pershing & N George Mason Dr,31069,38.871822,-77.107906,4,7
258,Fenton St & New York Ave,32001,38.985404,-77.023082,8,6
259,Bethesda Ave & Arlington Rd,32002,38.981103,-77.097426,4,15
260,Montgomery Ave & Waverly St,32003,38.983838,-77.09221,6,4
261,Fallsgrove Blvd & Fallsgrove Dr,32004,39.096312,-77.192672,8,11
262,Traville Gateway Dr & Gudelsky Dr,32005,39.093783,-77.202501,8,11
263,Norfolk Ave & Fairmont St,32000,38.988562,-77.096539,5,6
264,E Montgomery Ave & Maryland Ave,32007,39.084125,-77.151291,5,10
265,Cordell & Norfolk Ave,32008,38.98954,-77.098029,3,8
266,Frederick Ave & Horners Ln,32009,39.094772,-77.145213,5,6
267,Philadelphia & Maple Ave,32010,38.98128,-77.011336,10,4
268,Maple & Ritchie Ave,32011,38.983627,-77.006311,7,11
269,Silver Spring Metro/Colesville Rd & Wayne Ave,32012,38.99521,-77.02918,8,11
270,Montgomery & East Ln,32013,38.983525,-77.095367,7,4
271,Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir,32014,38.961763,-77.085998,6,13
272,14th & Belmont St NW,31119,38.921074,-77.031887,6,6
273,3rd & Tingey St SE,31634,38.87501,-77.0024,10,8
274,10th & Florida Ave NW,31120,38.920387,-77.025672,4,15
275,Potomac Ave & 8th St SE,31635,38.876737,-76.994468,3,12
276,Crabbs Branch Way & Redland Rd,32015,39.120045,-77.156985,5,9
277,Fallsgrove Dr & W Montgomery Ave,32016,39.099376,-77.188014,7,8
278,Monroe St & Monroe Pl,32017,39.083705,-77.149443,7,7
279,Needwood Rd & Eagles Head Ct,32018,39.123513,-77.15741,7,8
280,East West Hwy & Blair Mill Rd,32019,38.990249,-77.02935,5,10
281,Crabbs Branch Way & Calhoun Pl,32020,39.107709,-77.152072,5,10
282,47th & Elm St,32021,38.982456,-77.091991,5,10
283,Garland Ave & Walden Rd,32022,39.000578,-77.00149,5,10
284,Montgomery College/W Campus Dr & Mannakee St,32023,39.095661,-77.159048,10,11
285,Fenton St & Gist Ave,32024,38.989724,-77.023854,7,4
286,Carroll & Westmoreland Ave,32025,38.975,-77.01121,8,7
287,Carroll & Ethan Allen Ave,32026,38.977933,-77.006472,11,4
288,Battery Ln & Trolley Trail,32027,38.992375,-77.100104,5,10
